"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
18712,"",,2400,"HFO","","","TUG"
18714,"",,16199,"HFO","880 KW","","GEN CARGO"
18715,"",,6929,"HFO","590 KW","","GEN CARGO"
18716,"",,1499,"HFO","150 KW","","GEN CARGO"
18717,"",,7945,"HFO","","","TANKER"
18718,"",,3251,"HFO","","","TANKER"
18719,"",,14711,"HFO","","","BULK"
18721,"",,7723,"HFO","","","BULK"
18722,"",,5229,"HFO","","","BULK"
18723,"",,7208,"HFO","","","BULK"
18724,"",,7208,"HFO","","","BULK"
18725,"",,5980,"HFO","","","BULK"
18726,"",,10226,"HFO","","","TANKER"
18727,"",,10222,"HFO","","","TANKER"
18728,"",,1800,"HFO","435 KW","","FISHING"
18731,"",,6400,"HFO","","","GEN CARGO"
18732,"",,7149,"HFO","","","BULK"
18733,"",,10920,"HFO","690 KW","","GEN CARGO"
18734,"",,8561,"","","","BULK"
18735,"",,7061,"HFO","","","BULK"
18736,"",,7061,"HFO","","","BULK"
18737,"",,12130,"HFO","2000 PK","","GEN CARGO"
18738,"",,12130,"HFO","2000 PK","","GEN CARGO"
18739,"",,8561,"HFO","","","BULK"
18740,"",,5479,"HFO","","","BULK"
18743,"",,1360,"HFO","205 KW","","GEN CARGO"
18744,"",,1360,"HFO","205 KW","","GEN CARGO"
18745,"",,954,"HFO","350 PK","","GEN CARGO"
18747,"",,1800,"HFO","220 KW","","GEN CARGO"
18748,"",,1799,"HFO","220 KW","","GEN CARGO"
19770,"",,2639,"HFO","425 KW","","GEN CARGO"
19771,"",,9729,"HFO","1000 PK","","GEN CARGO"
19772,"",,9729,"HFO","1000 PK","","GEN CARGO"
19773,"",,9729,"HFO","600 KW","","GEN CARGO"
19775,"",,10489,"HFO","","","TANKER"
19776,"",,7940,"HFO","","","TANKER"
19777,"",,23758,"HFO","2300 KW","","PASSENGER"
19778,"",,47929,"HFO","2X1200PK","","GEN CARGO"
19780,"",,8900,"HFO","","","BULK"
19781,"",,14047,"HFO","","","TANKER"
19782,"",,14044,"HFO","","","TANKER"
19783,"",,1000,"HFO","250KW","","GEN CARGO"
19784,"",,4164,"HFO","300KW","","TANKER"
19785,"",,882,"HFO","","","WORKSHIP"
19786,"",,6400,"HFO","","","BULK"
19788,"",,9449,"HFO","750 KW","","GEN CARGO"
19789,"",,9449,"HFO","750 KW","","GEN CARGO"
19791,"",,9449,"HFO","750 KW","","GEN CARGO"
19793,"",,9449,"HFO","750 KW","","GEN CARGO"
19794,"",,5280,"HFO","552 KW","","TANKER"
19795,"",,5280,"HFO","552 KW","","TANKER"
19796,"",,5148,"HFO","","","BULK"
19798,"",,2400,"HFO","170 KW","","BULK"
19799,"",,2400,"HFO","170 KW","","BULK"
19800,"",,9782,"HFO","","","BULK"
19801,"",,23949,"HFO","JA","","GEN CARGO"
19502,"",,41044,"HFO","2400 PK","","GEN CARGO"
19503,"",,28352,"HFO","900 KW","","GEN CARGO"
19504,"",,750,"MDO","75 KW","75 KW","FISHING"
19505,"",,11474,"HFO","","","GEN CARGO"
19507,"",,48635,"HFO","2600 PK","","GEN CARGO"
19508,"",,48635,"HFO","2000KW","","GEN CARGO"
19509,"",,48635,"HFO","2000 KW","","GEN CARGO"
19510,"",,8561,"HFO","800 KW","","BULK"
19511,"",,4192,"HFO","","","TANKER"
19513,"",,8562,"HFO","","","BULK"
19514,"",,5737,"HFO","","","BULK"
17274,"",,8238,"HFO","","","BULK"
17275,"",,8235,"HFO","","","BULK"
17276,"",,8238,"HFO","","","BULK"
17277,"",,8238,"HFO","","","BULK"
17278,"",,4049,"HFO","600 PK","600 PK","TANKER"
17279,"",,4049,"HFO","800 PK","800 PK","TANKER"
17280,"",,4857,"HFO","","","OFFSHORE"
17282,"",,5649,"HFO","","","BULK"
17283,"",,23479,"HFO","","","TANKER"
17284,"",,23479,"HFO","","","TANKER"
17285,"",,23479,"HFO","","","TANKER"
17286,"",,2450,"HFO","180 KW","","GEN CARGO"
17288,"",,2700,"HFO","350 KW","","TANKER"
17289,"",,2700,"HFO","470 PK","","TANKER"
17290,"",,17280,"HFO","2X750KW","","DREDGING"
17291,"",,6339,"HFO","JA","","GEN CARGO"
17292,"",,1499,"HFO","183 KW","","GEN CARGO"
17293,"",,1799,"HFO","183 KW","","GEN CARGO"
17295,"",,12210,"HFO","","","TANKER"
17296,"",,12210,"HFO","","","TANKER"
17297,"",,11694,"HFO","1500PK","","GEN CARGO"
17299,"",,1470,"HFO","","","FISHING"
17300,"",,19670,"HFO","","","GEN CARGO"
17301,"",,19670,"HFO","1500 PK","","GEN CARGO"
17302,"",,19670,"HFO","JA","","GEN CARGO"
17303,"",,19670,"HFO","1600 PK","","GEN CARGO"
17305,"",,3449,"HFO","220 KW","","GEN CARGO"
17306,"",,15446,"HFO","","","TANKER"
17308,"",,8049,"HFO","","","GEN CARGO"
17309,"",,8052,"HFO","","","GEN CARGO"
17310,"",,8052,"HFO","","","GEN CARGO"
17006,"",,3299,"HFO","700 KW","","TANKER"
17007,"",,15402,"HFO","","","BULK"
17009,"",,1499,"HFO","183 KW","","GEN CARGO"
17010,"",,7279,"HFO","","","TANKER"
17011,"",,11364,"HFO","","","BULK"
17012,"",,14050,"HFO","","","BULK"
17013,"",,14269,"HFO","","","BULK"
18009,"",,11129,"HFO","750 KW","","GEN CARGO"
18011,"",,11907,"HFO","","","BULK"
18012,"",,27186,"HFO","","","TANKER"
18013,"",,27185,"HFO","","","TANKER"
18014,"",,7465,"HFO","","","TANKER"
18015,"",,7460,"HFO","","","TANKER"
18016,"",,10415,"HFO","","","TANKER"
18017,"",,1324,"HFO","250 PK","","GEN CARGO"
18018,"",,1274,"HFO","","","DREDGING"
18019,"",,5399,"HFO","500 PK","","GEN CARGO"
18021,"",,54839,"HFO","2210 KW","2X900 KW","GEN CARGO"
18023,"",,54859,"HFO","2210 KW","2X900 KW","GEN CARGO"
18024,"",,54839,"HFO","2210KW","2X900KW","GEN CARGO"
18025,"",,54839,"HFO","2210 KW","2X900 KW","GEN CARGO"
18026,"",,5737,"HFO","","","BULK"
18027,"",,7943,"HFO","","","BULK"
18029,"",,6965,"HFO","675 KW","515 KW","GEN CARGO"
18030,"",,3913,"HFO","","","GEN CARGO"
18031,"",,2700,"HFO","475 KW","","GEN CARGO"
18032,"",,7500,"HFO","700 KW","","FISHING"
18033,"",,9782,"HFO","","","BULK"
18034,"",,3900,"HFO","","","BULK"
18035,"",,3899,"HFO","","","BULK"
18036,"",,10812,"HFO","","","BULK"
18037,"",,11106,"HFO","","","BULK"
18038,"",,4200,"HFO","","","TANKER"
18040,"",,6531,"HFO","","","GEN CARGO"
18041,"",,11000,"HFO","","","BULK"
18043,"",,7849,"HFO","","","BULK"
18044,"",,15226,"HFO","","","BULK"
18045,"",,14224,"HFO","","","BULK"
18046,"",,5300,"HFO","2X1200PK","2X700PK","TUG"
18047,"",,5300,"HFO","2X1200PK","2X700 PK","TUG"
18048,"",,5429,"HFO","500 KW","","GEN CARGO"
18050,"",,6074,"HFO","","","BULK"
18051,"",,8561,"HFO","","","TANKER"
18052,"",,8561,"HFO","","","TANKER"
18053,"",,5969,"HFO","","","BULK"
18055,"",,1844,"MDO","260 KW","","GEN CARGO"
18749,"",,8500,"HFO","800 KW","","TANKER"
18750,"",,8561,"HFO","1000PK","","BULK"
18751,"",,8561,"HFO","1000 PK","","BULK"
18752,"",,2639,"HFO","408 KW","","TANKER"
18753,"",,2639,"HFO","408 KW","","TANKER"
18754,"",,2639,"HFO","408 KW","","TANKER"
18755,"",,2639,"HFO","408 KW","","TANKER"
18756,"",,5980,"HFO","","","BULK"
18757,"",,3960,"","350 KW","","GEN CARGO"
